@relation empleados

@attribute Sueldo numeric
@attribute Casado {Sí,No}
@attribute Coche {No,Sí}
@attribute Hijos numeric
@attribute Alq/Prop {Alquiler,Prop}
@attribute Sindic. {No,Sí}
@attribute Bajas/Año numeric
@attribute Antigüedad numeric
@attribute Sexo {H,M}

@data
10000,No,Sí,0,Alquiler,Sí,0,7,H
8000,No,Sí,0,Alquiler,No,3,2,H
10000,Sí,No,0,Alquiler,No,7,15,H
20000,No,Sí,1,Alquiler,Sí,3,3,M
15000,Sí,Sí,2,Prop,Sí,5,10,H
30000,Sí,Sí,1,Alquiler,No,15,7,M
10000,Sí,Sí,0,Prop,Sí,1,6,H
40000,No,Sí,0,Alquiler,Sí,3,16,M
25000,No,No,0,Alquiler,Sí,0,8,H
20000,No,Sí,0,Prop,Sí,2,6,M
20000,Sí,Sí,3,Prop,No,7,5,H
30000,Sí,Sí,2,Prop,No,1,20,H
50000,No,No,0,Alquiler,No,2,12,M
8000,Sí,Sí,2,Prop,No,3,1,H
20000,No,No,0,Alquiler,No,27,5,M
10000,No,Sí,0,Alquiler,Sí,0,7,H
8000,No,Sí,0,Alquiler,No,3,2,H
10000,Sí,No,0,Alquiler,No,7,15,H
20000,No,Sí,1,Alquiler,Sí,3,3,M
15000,Sí,Sí,2,Prop,Sí,5,10,H
30000,Sí,Sí,1,Alquiler,No,15,7,M
10000,Sí,Sí,0,Prop,Sí,1,6,H
40000,No,Sí,0,Alquiler,Sí,3,16,M
25000,No,No,0,Alquiler,Sí,0,8,H
20000,No,Sí,0,Prop,Sí,2,6,M
20000,Sí,Sí,3,Prop,No,7,5,H
30000,Sí,Sí,2,Prop,No,1,20,H
50000,No,No,0,Alquiler,No,2,12,M
8000,Sí,Sí,2,Prop,No,3,1,H
20000,No,No,0,Alquiler,No,27,5,M
10000,No,Sí,0,Alquiler,Sí,0,7,H
8000,No,Sí,0,Alquiler,No,3,2,H
10000,Sí,No,0,Alquiler,No,7,15,H
20000,No,Sí,1,Alquiler,Sí,3,3,M
15000,Sí,Sí,2,Prop,Sí,5,10,H
30000,Sí,Sí,1,Alquiler,No,15,7,M
10000,Sí,Sí,0,Prop,Sí,1,6,H
40000,No,Sí,0,Alquiler,Sí,3,16,M
25000,No,No,0,Alquiler,Sí,0,8,H
20000,No,Sí,0,Prop,Sí,2,6,M
20000,Sí,Sí,3,Prop,No,7,5,H
30000,Sí,Sí,2,Prop,No,1,20,H
50000,No,No,0,Alquiler,No,2,12,M
8000,Sí,Sí,2,Prop,No,3,1,H
20000,No,No,0,Alquiler,No,27,5,M
10000,No,Sí,0,Alquiler,Sí,0,7,H
8000,No,Sí,0,Alquiler,No,3,2,H
10000,Sí,No,0,Alquiler,No,7,15,H
20000,No,Sí,1,Alquiler,Sí,3,3,M
15000,Sí,Sí,2,Prop,Sí,5,10,H
30000,Sí,Sí,1,Alquiler,No,15,7,M
10000,Sí,Sí,0,Prop,Sí,1,6,H
40000,No,Sí,0,Alquiler,Sí,3,16,M
25000,No,No,0,Alquiler,Sí,0,8,H
20000,No,Sí,0,Prop,Sí,2,6,M
20000,Sí,Sí,3,Prop,No,7,5,H
30000,Sí,Sí,2,Prop,No,1,20,H
50000,No,No,0,Alquiler,No,2,12,M
8000,Sí,Sí,2,Prop,No,3,1,H
20000,No,No,0,Alquiler,No,27,5,M
10000,No,Sí,0,Alquiler,Sí,0,7,H
8000,No,Sí,0,Alquiler,No,3,2,H
10000,Sí,No,0,Alquiler,No,7,15,H
20000,No,Sí,1,Alquiler,Sí,3,3,M
15000,Sí,Sí,2,Prop,Sí,5,10,H
30000,Sí,Sí,1,Alquiler,No,15,7,M
10000,Sí,Sí,0,Prop,Sí,1,6,H
40000,No,Sí,0,Alquiler,Sí,3,16,M
25000,No,No,0,Alquiler,Sí,0,8,H
20000,No,Sí,0,Prop,Sí,2,6,M
20000,Sí,Sí,3,Prop,No,7,5,H
30000,Sí,Sí,2,Prop,No,1,20,H
50000,No,No,0,Alquiler,No,2,12,M
8000,Sí,Sí,2,Prop,No,3,1,H
20000,No,No,0,Alquiler,No,27,5,M
10000,No,Sí,0,Alquiler,Sí,0,7,H
8000,No,Sí,0,Alquiler,No,3,2,H
10000,Sí,No,0,Alquiler,No,7,15,H
20000,No,Sí,1,Alquiler,Sí,3,3,M
15000,Sí,Sí,2,Prop,Sí,5,10,H
30000,Sí,Sí,1,Alquiler,No,15,7,M
10000,Sí,Sí,0,Prop,Sí,1,6,H
40000,No,Sí,0,Alquiler,Sí,3,16,M
25000,No,No,0,Alquiler,Sí,0,8,H
20000,No,Sí,0,Prop,Sí,2,6,M
20000,Sí,Sí,3,Prop,No,7,5,H
30000,Sí,Sí,2,Prop,No,1,20,H
50000,No,No,0,Alquiler,No,2,12,M
8000,Sí,Sí,2,Prop,No,3,1,H
20000,No,No,0,Alquiler,No,27,5,M
10000,No,Sí,0,Alquiler,Sí,0,7,H
8000,No,Sí,0,Alquiler,No,3,2,H
10000,Sí,No,0,Alquiler,No,7,15,H
20000,No,Sí,1,Alquiler,Sí,3,3,M
15000,Sí,Sí,2,Prop,Sí,5,10,H
30000,Sí,Sí,1,Alquiler,No,15,7,M
10000,Sí,Sí,0,Prop,Sí,1,6,H
40000,No,Sí,0,Alquiler,Sí,3,16,M
25000,No,No,0,Alquiler,Sí,0,8,H
20000,No,Sí,0,Prop,Sí,2,6,M
20000,Sí,Sí,3,Prop,No,7,5,H
30000,Sí,Sí,2,Prop,No,1,20,H
50000,No,No,0,Alquiler,No,2,12,M
8000,Sí,Sí,2,Prop,No,3,1,H
20000,No,No,0,Alquiler,No,27,5,M
10000,No,Sí,0,Alquiler,Sí,0,7,H
8000,No,Sí,0,Alquiler,No,3,2,H
10000,Sí,No,0,Alquiler,No,7,15,H
20000,No,Sí,1,Alquiler,Sí,3,3,M
15000,Sí,Sí,2,Prop,Sí,5,10,H
30000,Sí,Sí,1,Alquiler,No,15,7,M
10000,Sí,Sí,0,Prop,Sí,1,6,H
40000,No,Sí,0,Alquiler,Sí,3,16,M
25000,No,No,0,Alquiler,Sí,0,8,H
20000,No,Sí,0,Prop,Sí,2,6,M
20000,Sí,Sí,3,Prop,No,7,5,H
30000,Sí,Sí,2,Prop,No,1,20,H
50000,No,No,0,Alquiler,No,2,12,M
8000,Sí,Sí,2,Prop,No,3,1,H
20000,No,No,0,Alquiler,No,27,5,M
10000,No,Sí,0,Alquiler,Sí,0,7,H
8000,No,Sí,0,Alquiler,No,3,2,H
